Src IP,Dst IP,Src Port,Dst Port,Protocol,Duration (s),Out Bytes,In Bytes,Total Packets,Total Bytes,Bytes/sec,Bytes/pkt,Pkts/sec,Ratio Out/In,State Flags,Direction
10.20.73.129,172.18.3.20,57439,53,17,0.00,0,85,1,85,89128960.00,85.00,1048576.00,0.00,,->
10.20.73.129,172.16.0.100,60692,53,17,0.00,0,85,1,85,0.00,85.00,0.00,0.00,,->
10.20.73.129,172.18.2.20,62081,53,17,0.00,0,85,1,85,71303168.00,85.00,838860.80,0.00,,->
10.20.73.129,172.16.0.101,52665,53,17,0.00,0,85,1,85,89128960.00,85.00,1048576.00,0.00,,->
10.20.73.129,172.18.3.20,50706,53,17,0.00,0,85,1,85,89128960.00,85.00,1048576.00,0.00,,->
10.20.73.129,10.64.76.10,56055,53,17,0.00,0,85,1,85,0.00,85.00,0.00,0.00,,->
10.20.73.129,10.64.76.10,54354,53,17,0.00,0,85,1,85,89128960.00,85.00,1048576.00,0.00,,->
10.20.73.129,172.16.0.100,63805,53,17,0.00,0,85,1,85,89128960.00,85.00,1048576.00,0.00,,->
10.20.73.129,10.64.77.10,65228,53,17,0.00,0,85,1,85,118838613.33,85.00,1398101.33,0.00,,->
10.20.73.129,172.18.2.20,62322,53,17,0.00,0,85,1,85,0.00,85.00,0.00,0.00,,->
10.20.73.129,172.16.0.101,60239,53,17,0.00,0,85,1,85,118838613.33,85.00,1398101.33,0.00,,->
10.20.73.129,10.64.77.10,49201,53,17,0.00,0,85,1,85,89128960.00,85.00,1048576.00,0.00,,->
172.16.0.100,10.20.73.129,53,60692,17,0.00,0,101,1,101,0.00,101.00,0.00,0.00,,->
10.20.73.129,72.247.96.30,65053,443,6,30.06,1771,78,14,1849,61.51,132.07,0.47,22.71,"RST, ACK, SYN",->
172.16.0.101,10.20.73.129,53,52665,17,0.00,0,225,1,225,0.00,225.00,0.00,0.00,,->
172.16.0.101,10.20.73.129,53,60239,17,0.00,0,101,1,101,105906176.00,101.00,1048576.00,0.00,,->
72.247.96.30,10.20.73.129,443,65053,6,30.06,9314,74,15,9388,312.35,625.87,0.50,125.86,"FIN, ACK, SYN",->
172.16.0.100,10.20.73.129,53,63805,17,0.00,0,225,1,225,235929600.00,225.00,1048576.00,0.00,,->
10.20.73.129,172.18.2.20,64404,53,17,0.00,0,74,1,74,62075699.20,74.00,838860.80,0.00,,->
10.20.73.129,10.64.76.10,62583,53,17,0.00,0,74,1,74,0.00,74.00,0.00,0.00,,->
10.20.73.129,10.64.77.10,65048,53,17,0.00,0,74,1,74,77594624.00,74.00,1048576.00,0.00,,->
10.20.73.129,172.16.0.100,52016,53,17,0.00,0,74,1,74,103459498.67,74.00,1398101.33,0.00,,->
10.20.73.129,172.18.3.20,56784,53,17,0.00,0,74,1,74,77594624.00,74.00,1048576.00,0.00,,->
10.20.73.129,172.16.0.101,53427,53,17,0.00,0,74,1,74,77594624.00,74.00,1048576.00,0.00,,->
172.16.0.100,10.20.73.129,53,52016,17,0.00,0,202,1,202,211812352.00,202.00,1048576.00,0.00,,->
10.20.73.129,54.86.152.169,65054,443,6,0.23,3033,78,13,3111,13280.63,239.31,55.50,38.88,"FIN, ACK, SYN",->
54.86.152.169,10.20.73.129,443,65054,6,0.24,5947,74,16,6021,25522.76,376.31,67.82,80.36,"FIN, ACK, SYN",->
172.16.0.101,10.20.73.129,53,53427,17,0.00,0,202,1,202,0.00,202.00,0.00,0.00,,->
10.20.73.129,142.250.68.33,65055,443,6,38.69,7078,78,38,7156,184.96,188.32,0.98,90.74,"ACK, SYN",->
142.250.68.33,10.20.73.129,443,65055,6,38.74,36762,74,58,36836,950.92,635.10,1.50,496.78,"ACK, SYN",->
10.20.73.129,173.194.12.40,65057,443,6,0.03,6264,78,13,6342,192426.55,487.85,394.44,80.31,"FIN, ACK, SYN",->
173.194.12.40,10.20.73.129,443,65057,6,0.03,5284,74,11,5358,207207.29,487.09,425.40,71.41,"FIN, ACK, SYN",->
10.20.73.129,173.194.8.169,65060,443,6,60.44,15856,78,162,15934,263.65,98.36,2.68,203.28,"ACK, SYN",->
173.194.8.169,10.20.73.129,443,65060,6,60.44,939506,74,669,939580,15544.96,1404.45,11.07,12696.03,"ACK, SYN",->
10.20.73.129,173.194.167.233,65062,443,6,64.85,208349,78,2343,208427,3213.85,88.96,36.13,2671.14,"ACK, SYN",->
173.194.167.233,10.20.73.129,443,65062,6,64.85,15805902,74,11123,15805976,243720.76,1421.02,171.51,213593.27,"ACK, SYN",->
10.20.73.129,173.194.167.233,65063,443,6,60.03,3642,78,19,3720,61.97,195.79,0.32,46.69,"FIN, ACK, SYN",->
173.194.167.233,10.20.73.129,443,65063,6,60.03,5902,74,16,5976,99.55,373.50,0.27,79.76,"FIN, ACK, SYN",->
10.20.73.129,18.208.6.180,57345,8884,6,60.08,229,97,4,326,5.43,81.50,0.07,2.36,ACK,->
18.208.6.180,10.20.73.129,8884,57345,6,59.99,97,97,2,194,3.23,97.00,0.03,1.00,ACK,->
10.20.73.129,142.250.189.14,65066,443,6,58.78,3979,78,22,4057,69.02,184.41,0.37,51.01,"ACK, SYN",->
142.250.189.14,10.20.73.129,443,65066,6,58.77,23234,74,30,23308,396.61,776.93,0.51,313.97,"ACK, SYN",->
10.20.73.129,142.250.189.14,64339,443,17,0.30,5176,1294,5,6470,21581.92,1294.00,16.68,4.00,,->
142.250.189.14,10.20.73.129,443,64339,17,0.00,0,1242,1,1242,0.00,1242.00,0.00,0.00,,->
104.18.18.125,10.20.73.129,443,64359,6,0.01,132,105,3,237,25277.17,79.00,319.96,1.26,"FIN, ACK",->
10.20.73.129,104.18.18.125,64359,443,6,0.00,327,66,5,393,161382.56,78.60,2053.21,4.95,"FIN, ACK",->
10.20.73.129,72.247.96.30,65068,443,6,2.01,1723,78,13,1801,898.22,138.54,6.48,22.09,"FIN, ACK, SYN",->
72.247.96.30,10.20.73.129,443,65068,6,2.00,10054,74,14,10128,5054.77,723.43,6.99,135.86,"FIN, ACK, SYN",->
10.20.73.129,142.250.72.131,64381,443,6,43.94,503,160,6,663,15.09,110.50,0.14,3.14,ACK,->
142.250.72.131,10.20.73.129,443,64381,6,43.94,888,138,9,1026,23.35,114.00,0.20,6.43,ACK,->
10.20.73.129,10.20.0.1,62566,5351,17,0.00,54,44,2,98,139620.17,49.00,2849.39,1.23,,->
10.20.73.129,10.20.0.1,53905,5351,17,0.00,66,44,2,110,113081.73,55.00,2056.03,1.50,,->
10.20.73.129,10.20.0.1,53905,1900,17,0.00,0,136,1,136,0.00,136.00,0.00,0.00,,->
10.20.73.129,239.255.255.250,53905,1900,17,0.00,179,136,2,315,264082.70,157.50,1676.72,1.32,,->
10.20.73.129,192.73.242.204,41641,3478,17,43.66,164,82,3,246,5.63,82.00,0.07,2.00,,->
10.20.73.129,208.111.34.178,41641,3478,17,43.66,164,82,3,246,5.63,82.00,0.07,2.00,,->
10.20.73.129,208.111.40.216,41641,3478,17,43.66,164,82,3,246,5.63,82.00,0.07,2.00,,->
10.20.73.129,192.73.244.245,41641,3478,17,43.66,82,82,2,164,3.76,82.00,0.05,1.00,,->
208.111.40.216,10.20.73.129,3478,41641,17,43.67,148,74,3,222,5.08,74.00,0.07,2.00,,->
192.73.244.245,10.20.73.129,3478,41641,17,43.66,74,74,2,148,3.39,74.00,0.05,1.00,,->
208.111.34.178,10.20.73.129,3478,41641,17,43.67,148,74,3,222,5.08,74.00,0.07,2.00,,->
192.73.242.204,10.20.73.129,3478,41641,17,43.67,148,74,3,222,5.08,74.00,0.07,2.00,,->
10.20.73.129,54.86.152.169,65070,443,6,0.23,2862,78,12,2940,12731.90,245.00,51.97,36.69,"FIN, ACK, SYN",->
54.86.152.169,10.20.73.129,443,65070,6,0.23,1459,74,11,1533,6639.96,139.36,47.64,19.72,"FIN, ACK, SYN",->
10.20.73.129,54.86.152.169,65071,443,6,0.24,2862,78,12,2940,12005.24,245.00,49.00,36.69,"FIN, ACK, SYN",->
54.86.152.169,10.20.73.129,443,65071,6,0.24,1459,74,11,1533,6372.50,139.36,45.73,19.72,"FIN, ACK, SYN",->
10.20.73.129,54.161.152.147,63547,443,6,43.75,1441,621,6,2062,47.13,343.67,0.14,2.32,ACK,->
54.161.152.147,10.20.73.129,443,63547,6,43.75,621,66,6,687,15.70,114.50,0.14,9.41,ACK,->
10.20.73.129,172.18.3.20,63300,53,17,0.00,0,95,1,95,0.00,95.00,0.00,0.00,,->
10.20.73.129,172.18.3.20,61565,53,17,0.00,0,95,1,95,0.00,95.00,0.00,0.00,,->
10.20.73.129,172.16.0.100,59263,53,17,0.00,0,95,1,95,0.00,95.00,0.00,0.00,,->
10.20.73.129,172.16.0.101,51855,53,17,0.00,0,95,1,95,0.00,95.00,0.00,0.00,,->
10.20.73.129,10.64.76.10,52488,53,17,0.00,0,95,1,95,0.00,95.00,0.00,0.00,,->
10.20.73.129,10.64.77.10,56225,53,17,0.00,0,95,1,95,0.00,95.00,0.00,0.00,,->
10.20.73.129,172.18.2.20,54838,53,17,0.00,0,95,1,95,49807360.00,95.00,524288.00,0.00,,->
10.20.73.129,172.16.0.101,54030,53,17,0.00,0,95,1,95,0.00,95.00,0.00,0.00,,->
10.20.73.129,172.18.2.20,54602,53,17,0.00,0,95,1,95,0.00,95.00,0.00,0.00,,->
10.20.73.129,172.16.0.100,61227,53,17,0.00,0,95,1,95,79691776.00,95.00,838860.80,0.00,,->
10.20.73.129,10.64.76.10,61512,53,17,0.00,0,95,1,95,79691776.00,95.00,838860.80,0.00,,->
10.20.73.129,172.18.3.20,58605,53,17,0.00,0,95,1,95,0.00,95.00,0.00,0.00,,->
10.20.73.129,10.64.76.10,60804,53,17,0.00,0,95,1,95,79691776.00,95.00,838860.80,0.00,,->
10.20.73.129,10.64.77.10,59454,53,17,0.00,0,95,1,95,99614720.00,95.00,1048576.00,0.00,,->
10.20.73.129,10.64.77.10,65503,53,17,0.00,0,95,1,95,132819626.67,95.00,1398101.33,0.00,,->
10.20.73.129,172.16.0.100,52305,53,17,0.00,0,95,1,95,0.00,95.00,0.00,0.00,,->
10.20.73.129,172.18.2.20,54965,53,17,0.00,0,95,1,95,79691776.00,95.00,838860.80,0.00,,->
10.20.73.129,172.16.0.101,62368,53,17,0.00,0,95,1,95,0.00,95.00,0.00,0.00,,->
10.20.73.129,151.101.3.6,65073,443,6,0.08,2082,78,15,2160,26849.35,144.00,186.45,26.69,"FIN, ACK, SYN",->
172.16.0.100,10.20.73.129,53,59263,17,0.00,0,272,1,272,285212672.00,272.00,1048576.00,0.00,,->
151.101.3.6,10.20.73.129,443,65073,6,0.08,16147,74,18,16221,215891.42,901.17,239.57,218.20,"FIN, ACK, SYN",->
172.16.0.100,10.20.73.129,53,52305,17,0.00,0,223,1,223,187065958.40,223.00,838860.80,0.00,,->
172.16.0.101,10.20.73.129,53,51855,17,0.00,0,272,1,272,285212672.00,272.00,1048576.00,0.00,,->
172.16.0.101,10.20.73.129,53,54030,17,0.00,0,271,1,271,0.00,271.00,0.00,0.00,,->
172.16.0.101,10.20.73.129,53,62368,17,0.00,0,223,1,223,233832448.00,223.00,1048576.00,0.00,,->
172.16.0.100,10.20.73.129,53,61227,17,0.00,0,271,1,271,0.00,271.00,0.00,0.00,,->
10.20.73.129,151.101.3.6,63644,443,17,0.06,3789,1242,12,5031,85268.41,419.25,203.38,3.05,,->
151.101.3.6,10.20.73.129,443,63644,17,1.28,10977,783,16,11760,9216.44,735.00,12.54,14.02,,->
10.20.73.129,151.101.3.6,,,1,25.63,560,70,9,630,24.58,70.00,0.35,8.00,,->
10.20.73.129,172.18.3.20,49455,53,17,0.00,0,131,1,131,109890764.80,131.00,838860.80,0.00,,->
10.20.73.129,10.64.76.10,59346,53,17,0.00,0,131,1,131,0.00,131.00,0.00,0.00,,->
10.20.73.129,10.64.77.10,59830,53,17,0.00,0,131,1,131,0.00,131.00,0.00,0.00,,->
10.20.73.129,172.16.0.100,49458,53,17,0.00,0,131,1,131,137363456.00,131.00,1048576.00,0.00,,->
10.20.73.129,172.18.3.20,49771,53,17,0.00,0,131,1,131,109890764.80,131.00,838860.80,0.00,,->
